srcStateName,srcYear,Country,YearCode,StateCode,StateName,Year,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Rajasthan,2019-20,India,2019,8,RAJASTHAN,"Financial Year (Apr - Mar), 2019",68548437,17048085,51500352,35550997,8909250,26641747,32997440,8138835,24858605,12711146,3216243,9494903,665817,3.31262e+07,33792067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rajasthan,2020-21,India,2020,8,RAJASTHAN,"Financial Year (Apr - Mar), 2020",68548437,17048085,51500352,35550997,8909250,26641747,32997440,8138835,24858605,12711146,3216243,9494903,665817,3.31262e+07,33792067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttar Pradesh,2015-16,India,2015,9,UTTAR PRADESH,"Financial Year (Apr - Mar), 2015",199812341,44495063,155317278,104480510,23487515,80992995,95331831,21007548,74324283,33448035,7762093,25685942,780110.507,2.31814e+07,23961510.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttar Pradesh,2016-17,India,2016,9,UTTAR PRADESH,"Financial Year (Apr - Mar), 2016",199812341,44495063,155317278,104480510,23487515,80992995,95331831,21007548,74324283,33448035,7762093,25685942,780110.507,2.31814e+07,23961510.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttar Pradesh,2017-18,India,2017,9,UTTAR PRADESH,"Financial Year (Apr - Mar), 2017",199812341,44495063,155317278,104480510,23487515,80992995,95331831,21007548,74324283,33448035,7762093,25685942,780110.507,2.31814e+07,23961510.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttar Pradesh,2018-19,India,2018,9,UTTAR PRADESH,"Financial Year (Apr - Mar), 2018",199812341,44495063,155317278,104480510,23487515,80992995,95331831,21007548,74324283,33448035,7762093,25685942,780110.507,2.31814e+07,23961510.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttar Pradesh,2019-20,India,2019,9,UTTAR PRADESH,"Financial Year (Apr - Mar), 2019",199812341,44495063,155317278,104480510,23487515,80992995,95331831,21007548,74324283,33448035,7762093,25685942,780110.507,2.31814e+07,23961510.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttar Pradesh,2020-21,India,2020,9,UTTAR PRADESH,"Financial Year (Apr - Mar), 2020",199812341,44495063,155317278,104480510,23487515,80992995,95331831,21007548,74324283,33448035,7762093,25685942,780110.507,2.31814e+07,23961510.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Meghalaya,2015-16,India,2015,17,MEGHALAYA,"Financial Year (Apr - Mar), 2015",2966889,595450,2371439,1491832,297572,1194260,1475057,297878,1177179,548059,117486,430573,28289,,28289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Meghalaya,2016-17,India,2016,17,MEGHALAYA,"Financial Year (Apr - Mar), 2016",2966889,595450,2371439,1491832,297572,1194260,1475057,297878,1177179,548059,117486,430573,28289,,28289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Meghalaya,2017-18,India,2017,17,MEGHALAYA,"Financial Year (Apr - Mar), 2017",2966889,595450,2371439,1491832,297572,1194260,1475057,297878,1177179,548059,117486,430573,28289,,28289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Meghalaya,2018-19,India,2018,17,MEGHALAYA,"Financial Year (Apr - Mar), 2018",2966889,595450,2371439,1491832,297572,1194260,1475057,297878,1177179,548059,117486,430573,28289,,28289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Meghalaya,2019-20,India,2019,17,MEGHALAYA,"Financial Year (Apr - Mar), 2019",2966889,595450,2371439,1491832,297572,1194260,1475057,297878,1177179,548059,117486,430573,28289,,28289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Meghalaya,2020-21,India,2020,17,MEGHALAYA,"Financial Year (Apr - Mar), 2020",2966889,595450,2371439,1491832,297572,1194260,1475057,297878,1177179,548059,117486,430573,28289,,28289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Assam,2015-16,India,2015,18,ASSAM,"Financial Year (Apr - Mar), 2015",31205576,4398542,26807034,15939443,2260454,13678989,15266133,2138088,13128045,6406471,985594,5420877,125988,5.0829e+06,5208890.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Assam,2016-17,India,2016,18,ASSAM,"Financial Year (Apr - Mar), 2016",31205576,4398542,26807034,15939443,2260454,13678989,15266133,2138088,13128045,6406471,985594,5420877,125988,5.0829e+06,5208890.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Assam,2017-18,India,2017,18,ASSAM,"Financial Year (Apr - Mar), 2017",31205576,4398542,26807034,15939443,2260454,13678989,15266133,2138088,13128045,6406471,985594,5420877,125988,5.0829e+06,5208890.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Assam,2018-19,India,2018,18,ASSAM,"Financial Year (Apr - Mar), 2018",31205576,4398542,26807034,15939443,2260454,13678989,15266133,2138088,13128045,6406471,985594,5420877,125988,5.0829e+06,5208890.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Assam,2019-20,India,2019,18,ASSAM,"Financial Year (Apr - Mar), 2019",31205576,4398542,26807034,15939443,2260454,13678989,15266133,2138088,13128045,6406471,985594,5420877,125988,5.0829e+06,5208890.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Assam,2020-21,India,2020,18,ASSAM,"Financial Year (Apr - Mar), 2020",31205576,4398542,26807034,15939443,2260454,13678989,15266133,2138088,13128045,6406471,985594,5420877,125988,5.0829e+06,5208890.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
West Bengal,2015-16,India,2015,19,WEST BENGAL,"Financial Year (Apr - Mar), 2015",91276115,29093002,62183113,46809027,14964082,31844945,44467088,14128920,30338168,20380315,6567150,13813165,511322.9535491,7.82147e+06,8332791.4535491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
West Bengal,2016-17,India,2016,19,WEST BENGAL,"Financial Year (Apr - Mar), 2016",91276115,29093002,62183113,46809027,14964082,31844945,44467088,14128920,30338168,20380315,6567150,13813165,511322.9535491,7.82147e+06,8332791.4535491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
West Bengal,2017-18,India,2017,19,WEST BENGAL,"Financial Year (Apr - Mar), 2017",91276115,29093002,62183113,46809027,14964082,31844945,44467088,14128920,30338168,20380315,6567150,13813165,511322.9535491,7.82147e+06,8332791.4535491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
West Bengal,2018-19,India,2018,19,WEST BENGAL,"Financial Year (Apr - Mar), 2018",91276115,29093002,62183113,46809027,14964082,31844945,44467088,14128920,30338168,20380315,6567150,13813165,511322.9535491,7.82147e+06,8332791.4535491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
West Bengal,2019-20,India,2019,19,WEST BENGAL,"Financial Year (Apr - Mar), 2019",91276115,29093002,62183113,46809027,14964082,31844945,44467088,14128920,30338168,20380315,6567150,13813165,511322.9535491,7.82147e+06,8332791.4535491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
West Bengal,2020-21,India,2020,19,WEST BENGAL,"Financial Year (Apr - Mar), 2020",91276115,29093002,62183113,46809027,14964082,31844945,44467088,14128920,30338168,20380315,6567150,13813165,511322.9535491,7.82147e+06,8332791.4535491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jharkhand,2015-16,India,2015,20,JHARKHAND,"Financial Year (Apr - Mar), 2015",32988134,7933061,25055073,16930315,4153829,12776486,16057819,3779232,12278587,6254781,1525412,4729369,225145.15,7.46095e+06,7686097.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jharkhand,2016-17,India,2016,20,JHARKHAND,"Financial Year (Apr - Mar), 2016",32988134,7933061,25055073,16930315,4153829,12776486,16057819,3779232,12278587,6254781,1525412,4729369,225145.15,7.46095e+06,7686097.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jharkhand,2017-18,India,2017,20,JHARKHAND,"Financial Year (Apr - Mar), 2017",32988134,7933061,25055073,16930315,4153829,12776486,16057819,3779232,12278587,6254781,1525412,4729369,225145.15,7.46095e+06,7686097.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jharkhand,2018-19,India,2018,20,JHARKHAND,"Financial Year (Apr - Mar), 2018",32988134,7933061,25055073,16930315,4153829,12776486,16057819,3779232,12278587,6254781,1525412,4729369,225145.15,7.46095e+06,7686097.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jharkhand,2019-20,India,2019,20,JHARKHAND,"Financial Year (Apr - Mar), 2019",32988134,7933061,25055073,16930315,4153829,12776486,16057819,3779232,12278587,6254781,1525412,4729369,225145.15,7.46095e+06,7686097.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jharkhand,2020-21,India,2020,20,JHARKHAND,"Financial Year (Apr - Mar), 2020",32988134,7933061,25055073,16930315,4153829,12776486,16057819,3779232,12278587,6254781,1525412,4729369,225145.15,7.46095e+06,7686097.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Odisha,2015-16,India,2015,21,ODISHA,"Financial Year (Apr - Mar), 2015",41980846,7010284,34970562,21215646,3629443,17586203,20765200,3380841,17384359,9639296,1549309,8089987,2297094.4,1.15738e+07,13870882.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Odisha,2016-17,India,2016,21,ODISHA,"Financial Year (Apr - Mar), 2016",41980846,7010284,34970562,21215646,3629443,17586203,20765200,3380841,17384359,9639296,1549309,8089987,2297094.4,1.15738e+07,13870882.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Odisha,2017-18,India,2017,21,ODISHA,"Financial Year (Apr - Mar), 2017",41980846,7010284,34970562,21215646,3629443,17586203,20765200,3380841,17384359,9639296,1549309,8089987,2297094.4,1.15738e+07,13870882.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Odisha,2018-19,India,2018,21,ODISHA,"Financial Year (Apr - Mar), 2018",41980846,7010284,34970562,21215646,3629443,17586203,20765200,3380841,17384359,9639296,1549309,8089987,2297094.4,1.15738e+07,13870882.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Odisha,2019-20,India,2019,21,ODISHA,"Financial Year (Apr - Mar), 2019",41980846,7010284,34970562,21215646,3629443,17586203,20765200,3380841,17384359,9639296,1549309,8089987,2297094.4,1.15738e+07,13870882.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Odisha,2020-21,India,2020,21,ODISHA,"Financial Year (Apr - Mar), 2020",41980846,7010284,34970562,21215646,3629443,17586203,20765200,3380841,17384359,9639296,1549309,8089987,2297094.4,1.15738e+07,13870882.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chhattisgarh,2015-16,India,2015,22,CHHATTISGARH,"Financial Year (Apr - Mar), 2015",25545198,5937237,19607961,12832895,3035469,9797426,12712303,2901768,9810535,5650724,1285156,4365568,324772,9.34252e+06,9667292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chhattisgarh,2016-17,India,2016,22,CHHATTISGARH,"Financial Year (Apr - Mar), 2016",25545198,5937237,19607961,12832895,3035469,9797426,12712303,2901768,9810535,5650724,1285156,4365568,324772,9.34252e+06,9667292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
