ROWID,Country,State lgd code,State,Yearcode,Year,Coal type,Qualtity of coal produced
55,India,20,Jharkhand,2018,"Financial Year (Apr - Mar), 2018",Non-Coking Coal,95.025
56,India,20,Jharkhand,2019,"Financial Year (Apr - Mar), 2019",Coking Coal,52.364
57,India,20,Jharkhand,2019,"Financial Year (Apr - Mar), 2019",Non-Coking Coal,79.399
58,India,20,Jharkhand,2020,"Financial Year (Apr - Mar), 2020",Coking,44.387
59,India,20,Jharkhand,2020,"Financial Year (Apr - Mar), 2020",Non-Coking,79.041
60,India,21,Odisha,2015,"Financial Year (Apr - Mar), 2015",Non-Coking Coal,138.461
61,India,21,Odisha,2016,"Financial Year (Apr - Mar), 2016",Non-Coking Coal,139.359
62,India,21,Odisha,2017,"Financial Year (Apr - Mar), 2017",Non-Coking Coal,143.328
63,India,21,Odisha,2018,"Financial Year (Apr - Mar), 2018",Non-Coking Coal,144.312
64,India,21,Odisha,2019,"Financial Year (Apr - Mar), 2019",Non-Coking Coal,143.016
65,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",Non-Coking,154.151
66,India,22,Chhattisgarh,2015,"Financial Year (Apr - Mar), 2015",Coking Coal,0.135
67,India,22,Chhattisgarh,2015,"Financial Year (Apr - Mar), 2015",Non-Coking Coal,130.47
68,India,22,Chhattisgarh,2016,"Financial Year (Apr - Mar), 2016",Coking Coal,0.11
69,India,22,Chhattisgarh,2016,"Financial Year (Apr - Mar), 2016",Non-Coking Coal,138.415
70,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",Coking Coal,0.182
71,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",Non-Coking Coal,142.364
72,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",Coking Coal,0.247
73,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",Non-Coking Coal,161.646
74,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",Coking Coal,0.25
75,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",Non-Coking Coal,157.495
76,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",Coking,0.219
77,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",Non-Coking,158.191
78,India,23,Madhya Pradesh,2015,"Financial Year (Apr - Mar), 2015",Coking Coal,0.209
79,India,23,Madhya Pradesh,2015,"Financial Year (Apr - Mar), 2015",Non-Coking Coal,107.505
80,India,23,Madhya Pradesh,2016,"Financial Year (Apr - Mar), 2016",Coking Coal,0.131
81,India,23,Madhya Pradesh,2016,"Financial Year (Apr - Mar), 2016",Non-Coking Coal,104.882
82,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",Coking Coal,0.18
83,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",Non-Coking Coal,111.947
84,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",Coking Coal,0.188
85,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",Non-Coking Coal,118.473
86,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",Coking Coal,0.178
87,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",Non-Coking Coal,125.548
88,India,23,Madhya Pradesh,2020,"Financial Year (Apr - Mar), 2020",Coking,0.181
89,India,23,Madhya Pradesh,2020,"Financial Year (Apr - Mar), 2020",Non-Coking,132.35
90,India,24,Gujarat,2015,"Financial Year (Apr - Mar), 2015",Lignite,10.123
91,India,24,Gujarat,2016,"Financial Year (Apr - Mar), 2016",Lignite,10.546
92,India,24,Gujarat,2017,"Financial Year (Apr - Mar), 2017",Lignite,13.781
93,India,24,Gujarat,2018,"Financial Year (Apr - Mar), 2018",Lignite,12.566
94,India,24,Gujarat,2019,"Financial Year (Apr - Mar), 2019",Lignite,10.357
95,India,24,Gujarat,2020,"Financial Year (Apr - Mar), 2020",Lignite,10.813
96,India,27,Maharashtra,2015,"Financial Year (Apr - Mar), 2015",Non-Coking Coal,38.351
97,India,27,Maharashtra,2016,"Financial Year (Apr - Mar), 2016",Non-Coking Coal,40.559
98,India,27,Maharashtra,2017,"Financial Year (Apr - Mar), 2017",Non-Coking Coal,42.219
99,India,27,Maharashtra,2018,"Financial Year (Apr - Mar), 2018",Non-Coking Coal,49.818
100,India,27,Maharashtra,2019,"Financial Year (Apr - Mar), 2019",Non-Coking Coal,54.746
101,India,27,Maharashtra,2020,"Financial Year (Apr - Mar), 2020",Non-Coking,47.435
102,India,33,Tamil Nadu,2015,"Financial Year (Apr - Mar), 2015",Lignite,24.227
103,India,33,Tamil Nadu,2016,"Financial Year (Apr - Mar), 2016",Lignite,26.204
104,India,33,Tamil Nadu,2017,"Financial Year (Apr - Mar), 2017",Lignite,23.569
105,India,33,Tamil Nadu,2018,"Financial Year (Apr - Mar), 2018",Lignite,23.041
106,India,33,Tamil Nadu,2019,"Financial Year (Apr - Mar), 2019",Lignite,23.516
107,India,33,Tamil Nadu,2020,"Financial Year (Apr - Mar), 2020",Lignite,18.026
108,India,36,Telangana,2015,"Financial Year (Apr - Mar), 2015",Non-Coking Coal,60.38
109,India,36,Telangana,2016,"Financial Year (Apr - Mar), 2016",Non-Coking Coal,61.336
110,India,36,Telangana,2017,"Financial Year (Apr - Mar), 2017",Non-Coking Coal,62.01
111,India,36,Telangana,2018,"Financial Year (Apr - Mar), 2018",Non-Coking Coal,65.16
112,India,36,Telangana,2019,"Financial Year (Apr - Mar), 2019",Non-Coking Coal,65.703
113,India,36,Telangana,2020,"Financial Year (Apr - Mar), 2020",Non-Coking,52.603
114,India,37,Ladakh,2015,"Financial Year (Apr - Mar), 2015",Non-Coking Coal,0.0003164343420251845
115,India,37,Ladakh,2016,"Financial Year (Apr - Mar), 2016",Non-Coking Coal,0.000243411032327065
116,India,37,Ladakh,2017,"Financial Year (Apr - Mar), 2017",Non-Coking Coal,0.0003407754452578910
117,India,37,Ladakh,2018,"Financial Year (Apr - Mar), 2018",Non-Coking Coal,0.0003164343420251845
118,India,37,Ladakh,2019,"Financial Year (Apr - Mar), 2019",Non-Coking Coal,0.0003407754452578910
119,India,37,Ladakh,2020,"Financial Year (Apr - Mar), 2020",Non-Coking,0.000243411032327065
